,orig_name,name,url,volume,options,Напиток,Вкус,С содержанием сока,Степень газирования,Упаковка,Стандарты производства,Состав,Энергетическая ценность в 100 г,Углеводы в 100 г,Срок годности,brend,category,Цвет,Тип,Объем,Материал корпуса,Материал колбы,Сохраняет холод,Высота,Диаметр/ширина корпуса,Вес,Особенности,В комплекте,Основа,Разбавитель,Степень глянца,Количество компонентов,Нанесение,Область применения,Материал обработки,Для внутренних работ,Для наружных работ,УФ защита,Время высыхания,Яхтный лак,Влагостойкий,Сохраняет тепло,Объем упаковки,Класс вязкости SAE,Класс ACEA,Класс ACEA (подробно),Двигатель,Тип двигателя,Назначение,Допуски,Тип баллона,Газ,Вид,Объем баллона,Масса газа,Соединение,Рабочее давление,Масса,Диаметр,Дополнительная информация,Срок службы,Подключение к водопроводу,Использование,Фильтрующий модуль в комплекте,Накопительная емкость,Мощность,Прозрачный корпус,Без сахара,Тип воды,Материал упаковки,Вид воды,Артезианская,Газированная,Страна производства,Сырье пива,Способ обработки пива,Крепость,Количество в упаковке,Блок,Дегустационные характеристики,Энергетическая ценность в 100 мл,Углеводы в 100 мл,Столовая,Уровень минерализации,Материал,Количество фигурок в наборе,Персонаж,Тип питания,Для детского питания,Спортивный колпачок,С добавлением сока,Рекомендуемый возраст,Гипоаллергенный,path,Родниковая,С винтовой крышкой,Белки в 100 г,Жиры в 100 г,Средство,Спрей,Тип кожи,Эффект,Масла и экстракты,Не содержит,Способ применения,Форма выпуска,Содержание сахара,Сорт винограда,Рекомендации по употреблению,Вид напитка,Жирность,Органический продукт,С мякотью,Витамины и минералы,Газированный,Стимулирующее вещество,Способ обработки,Пол,Верхние ноты,Средние ноты,Базовые ноты
493,"Вода питьевая АКВА МИНЕРАЛЕ негаз., пэт, 5л","Вода питьевая Aqua Minerale негазированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-aqua-minerale-negazirovannaia-pet/157467568,5,"Вода питьевая Aqua Minerale негазированная, ПЭТ",,,,,,ТУ 0131-001-17998155-00,"мг/л: минерализация: 50-500, калий - 10, кальций - 30, магний - 20, сульфаты - 100, хлориды - 50, гидрокарбонаты - 200",,,24 мес.,Aqua Minerale,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,питьевая,пластик,очищенная,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,"Вода питьевая АКВА МИНЕРАЛЕ черешня, 0.5л",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,"Вода питьевая АКВА МИНЕРАЛЕ яблоко, 0.5л","Вода питьевая Аква Минерале газированная с соком Яблоко, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-akva-minerale-gazirovannaia-s-sokom-iabloko-pet/157465528,0,"Вода питьевая Аква Минерале газированная с соком Яблоко, ПЭТ;Вода питьевая Aqua Minerale негазированная, ПЭТ;Вода питьевая Аква Минерале плюс с магнием негазированная, ПЭТ;Вода питьевая Аква Минерале газированная с соком Черешня, ПЭТ;Вода питьевая Aqua Minerale газированная, ПЭТ;Вода питьевая Aqua Minerale негазированная с соком Мята-лайм, ПЭТ",,яблоко,,,,,,19 ккал,4.7 г,6 мес.,Aqua Minerale,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"состав: вода, сахар, мультифруктовый концентрированный сок (яблочный концентрированный сок, лимонный концентрированный сок, концентрированный сок черешни, концентрированный сок лайма), регулятор кислотност (Е330), консерванты (Е202, Е211), ароматизатор, краситель (Е150d)",,,,,,,,,питьевая,пластик,природная,да,да,,,,,,,,,,,,,,,,,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,"Вода питьевая АКВАРИУС лайм, ПЭТ, 0.4л","Вода питьевая негазированная Aquarius Лимон обогащенная цинком, пластик",https://market.yandex.ru/product--voda-pitevaia-negazirovannaia-aquarius-limon-obogashchennaia-tsinkom-plastik/662827641,0,"Вода питьевая негазированная Aquarius Лимон обогащенная цинком, пластик;Питьевая вода Шишкин лес Спорт негазированная, ПЭТ;Питьевая вода Шишкин лес газированная, ПЭТ;Питьевая вода Шишкин лес негазированная, ПЭТ;Питьевая вода Шишкин Лес Junior негазированная, ПЭТ",,лимон,,,,,"очищенная вода, сахар, фруктоза, регуляторы кислотности (лимонная кислота, яблочная кислота, цитраты натрия, фосфаты калия, фосфаты кальция), соль, антиокислитель аскорбиновая кислота, стабилизаторы (гуммиарабик, эфиры глицерина и смоляных кислот)",,,,Aquarius,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,питьевая,пластик,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Вода питьевая артезианская Aqua Minerale газированная 2 л,"Вода питьевая Aqua Minerale газированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-aqua-minerale-gazirovannaia-pet/157465524,2,"Вода питьевая Aqua Minerale газированная, ПЭТ",,,,,,,"мг/л: калий - 10; кальций - 30; магний - 20; сульфаты - 100; хлориды - 50; гидрокарбонаты - 200; общая минерализация: 50-500 мг/л; общая жесткость: < 7 мг-экв/л CO2 - 0,2-0,8 %",,,6 мес.,Aqua Minerale,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,питьевая,пластик,очищенная,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Вода питьевая артезианская Aqua Minerale негазированная 2 л,"Вода питьевая Aqua Minerale негазированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-aqua-minerale-negazirovannaia-pet/157467568,2,"Вода питьевая Aqua Minerale негазированная, ПЭТ;Вода питьевая Aqua Minerale газированная, ПЭТ",,,,,,ТУ 0131-001-17998155-00,"мг/л: минерализация: 50-500, калий - 10, кальций - 30, магний - 20, сульфаты - 100, хлориды - 50, гидрокарбонаты - 200",,,24 мес.,Aqua Minerale,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,питьевая,пластик,очищенная,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,"Вода питьевая артезианская Nestle Pure Life газированная 0,5 л",Артезианская вода Nestle Pure Life Eden газированная ПЭТ,https://market.yandex.ru/product--artezianskaia-voda-nestle-pure-life-eden-gazirovannaia-pet/422230582,"0,5",Артезианская вода Nestle Pure Life Eden газированная ПЭТ,,,,,,,бикарбонаты - 30-150; натрий - 10-50; кальций - 25-40; калий - 2-20; магний - 5-15,,,,Nestle Pure Life,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,питьевая,пластик,природная,да,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,"Вода питьевая артезианская Nestle Pure Life негазированная столовая 0,5 л",Артезианская вода Nestle Pure Life негазированная ПЭТ,https://market.yandex.ru/product--artezianskaia-voda-nestle-pure-life-negazirovannaia-pet/159402933,"0,5",Артезианская вода Nestle Pure Life негазированная ПЭТ,,,,,,ТУ 0131-001-49955696-06,"мг/л: HCO3 150, NA 50, CA 40, K 20, Mg 15",,,,Nestle Pure Life,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,питьевая,пластик,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Вода питьевая артезианская Nestle Pure Life негазированная столовая 2 л,Артезианская вода Nestle Pure Life негазированная ПЭТ,https://market.yandex.ru/product--artezianskaia-voda-nestle-pure-life-negazirovannaia-pet/159402933,2,"Артезианская вода Nestle Pure Life негазированная ПЭТ;Артезианская вода Nestle Pure Life Eden газированная ПЭТ;Артезианская вода Nestle Pure Life Eden негазированная ПЭТ;Вода артезианская Naturelia негазированная, ПЭТ;Вода природная высшей категории Jevea негазированная, ПЭТ;Вода питьевая Артезианский негазированная пластик",,,,,,ТУ 0131-001-49955696-06,"мг/л: HCO3 150, NA 50, CA 40, K 20, Mg 15",,,,Nestle Pure Life,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,питьевая,пластик,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,"Вода питьевая артезианская Калинов Родник негазированная 0,5 л","Вода минеральная Калинов Родник негазированная, ПЭТ",https://market.yandex.ru/product--voda-mineralnaia-kalinov-rodnik-negazirovannaia-pet/424228094,"0,5","Вода минеральная Калинов Родник негазированная, ПЭТ;Вода питьевая Калинов Родник негазированная, спорт-ПЭТ;Вода Калинов Родник со вкусом лайма негазированная, спорт-ПЭТ",,,,,,ТУ 0131-005-23444952-04,"гидрокарбонаты - 300-500 мг/л, натрий - 2-30мг/л, кальций - 30-150 мг/л, магний - 10-60 мг/л, калий- 0,5-15 мг/л, сульфаты - 20-60 мг/л, хлориды - 5-30 мг/л; общая минерализация , г/дм3 - 0,3-0,8",,,"12 мес., при температуре от +5°С до +25°С",Калинов Родник,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,срок хранения воды после вскрытия бутылки не более 3 суток; по истечении 3 суток после вскрытия воду рекомендуется кипятить; беречь от воздействия прямого солнечного света; срок годности 6 месяцев,,,,,,,,,питьевая,пластик,природная,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Вода питьевая артезианская Калинов Родник негазированная 6 л,"Вода питьевая Калинов Родник негазированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-kalinov-rodnik-negazirovannaia-pet/660178048,6,"Вода питьевая Калинов Родник негазированная, ПЭТ",,,,,,,"бикарбонаты (НСO3-) 400, натрий (Na+) 200, кальций (Ca2+) 40, магний (Mg2+) 15",,,,Калинов Родник,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,питьевая,пластик,природная,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,"ВОДА питьевая артезианская/лечебно-столовая, негазированная/газированная, Липецкий бювет, 0,5 л","Вода питьевая Липецкий Бювет негазированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-lipetskii-biuvet-negazirovannaia-pet/561686003,"0,5","Вода питьевая Липецкий Бювет негазированная, ПЭТ;Вода минеральная Липецкий Бювет газированная, ПЭТ;Вода минеральная природная питьевая лечебно-столовая Липецкая газированная, стекло;Вода минеральная природная питьевая лечебно-столовая Липецкая Росинка газированная, ПЭТ;Вода питьевая Новотерская негазированная, ПЭТ;Вода питьевая артезианская первой категории Липецкая-Лайт негазированная, ПЭТ",,,,,,ТУ 0131-046-18008485-07,,,,,Липецкий Бювет,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,питьевая,пластик,природная,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,"Вода питьевая артезианская Святой Источник газир. 0,5л ","Вода питьевая Святой Источник негазированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-sviatoi-istochnik-negazirovannaia-pet/163584171,"0,5","Вода питьевая Святой Источник негазированная, ПЭТ;Вода питьевая Святой Источник газированная, ПЭТ;Вода питьевая Святой Источник Активные минералы газированная, ПЭТ;Вода питьевая Святой Источник Спортивная негазированная, ПЭТ;Питьевая вода Святой Источник Лимон негазированная, ПЭТ спорт;Питьевая вода Святой Источник Малина негазированная, ПЭТ спорт",,,,,,ТУ 0131-003-41645812-09,"кальций <80, магний <30, калий <20, гидрокарбонаты <300, хлориды <150, сульфаты <100",,,12 мес.,Святой источник,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"минерализация: 0,1-0,5 г/л",,,,,,,,,питьевая,пластик,природная,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,"Вода питьевая АССОЛЬ негаз.ПЭТ, Россия, 0.5 L","Вода питьевая Святой Источник негазированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-sviatoi-istochnik-negazirovannaia-pet/163584171,0,"Вода питьевая Святой Источник негазированная, ПЭТ;Вода питьевая Черноголовка негазированная, ПЭТ;Вода питьевая Святой Источник Спортивная негазированная, ПЭТ;Вода питьевая Aqua Minerale негазированная, ПЭТ",,,,,,ТУ 0131-003-41645812-09,"кальций <80, магний <30, калий <20, гидрокарбонаты <300, хлориды <150, сульфаты <100",,,12 мес.,Святой источник,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"минерализация: 0,1-0,5 г/л",,,,,,,,,питьевая,пластик,природная,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,"Вода питьевая Байкал 430 глубинная природная негаз 0,85л пэт","Природная питьевая вода Байкальская глубинная BAIKAL430, ПЭТ",https://market.yandex.ru/product--prirodnaia-pitevaia-voda-baikalskaia-glubinnaia-baikal430-pet/168432135,430,"Природная питьевая вода Байкальская глубинная BAIKAL430, ПЭТ",,,,,,,"Cl≤10, SO4≤10, Ca≤50, HCO3≤100, Na≤7, K≤2, Mg≤10",,,,BAIKAL430,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"минерализация: ≤0,12±0,02 г/л; pH: 7,3-8,0",,,,,,,,,питьевая,пластик,природная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,"Вода питьевая БОН АКВА, Негазированная/ Газированная, 1 л",Вода питьевая Bon Aqua газированная ПЭТ,https://market.yandex.ru/product--voda-pitevaia-bon-aqua-gazirovannaia-pet/158327488,1,Вода питьевая Bon Aqua газированная ПЭТ,,,,,,ТУ 0131-007-40227765,"натрий 100-200 мг/л, кальций 25-70 мг/л, магний 10-50 мг/л, калий < 5 мг/л, гидрокарбонаты 250-400 мг/л, хлориды 150-250 мг/л, сульфаты < 30 мг/л",,,"6 мес., при t от 0°C до 35°C",BonAqua,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,общая минерализация 500-1000 мг/л,,,,,,,,,питьевая,пластик,очищенная,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,"Вода питьевая БОНАКВА негазированная, п/б, 1 л",Вода питьевая Bon Aqua негазированная ПЭТ,https://market.yandex.ru/product--voda-pitevaia-bon-aqua-negazirovannaia-pet/158325495,1,Вода питьевая Bon Aqua негазированная ПЭТ;Вода питьевая Bon Aqua газированная ПЭТ;Вода питьевая Bon Aqua среднегазированная ПЭТ;Вода питьевая Bon Aqua негазированная стекло;Вода питьевая Bon Aqua Viva негазированная Яблоко ПЭТ спорт;Вода питьевая Bon Aqua Viva негазированная Лимон ПЭТ спорт,,,,,,,"магний - 5-40 мг/л, кальций - 15-45 мг/л, натрий 1-15 мг/л, калий < 5 мг/л, хлориды - 30-140 мг/л, гидрокарбонаты < 100 мг/л, сульфаты < 20 мг/л",,,"9 мес., при температуре от 5 до 35°С",BonAqua,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"минерализация 0,1 - 0,35 г/л; срок годности 9 месяцев",,,,,,,,,питьевая,пластик,очищенная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,ВОДА ПИТЬЕВАЯ «Бон Аква» сильногаз./негаз. 2л *Цена по карте.,Вода питьевая Bon Aqua негазированная ПЭТ,https://market.yandex.ru/product--voda-pitevaia-bon-aqua-negazirovannaia-pet/158325495,2,"Вода питьевая Bon Aqua негазированная ПЭТ;Вода питьевая Edis горная родниковая негазированная, стекло;Вода питьевая Bon Aqua газированная ПЭТ;Вода питьевая Bon Aqua среднегазированная ПЭТ;Вода питьевая Главвода негазированная, ПЭТ;Вода питьевая Bon Aqua негазированная стекло",,,,,,,"магний - 5-40 мг/л, кальций - 15-45 мг/л, натрий 1-15 мг/л, калий < 5 мг/л, хлориды - 30-140 мг/л, гидрокарбонаты < 100 мг/л, сульфаты < 20 мг/л",,,"9 мес., при температуре от 5 до 35°С",BonAqua,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"минерализация 0,1 - 0,35 г/л; срок годности 9 месяцев",,,,,,,,,питьевая,пластик,очищенная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,"Вода питьевая ГОРНАЯ ГАЗ./НЕГАЗ. 0,5Л","Вода питьевая Новотерская негазированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-novoterskaia-negazirovannaia-pet/561825024,"0,5","Вода питьевая Новотерская негазированная, ПЭТ;Минеральная питьевая вода Горная вершина негазированная, ПЭТ;Минеральная питьевая вода Горная вершина негазированная, стекло;Вода питьевая Edis горная родниковая негазированная, стекло;Вода питьевая Главвода негазированная, ПЭТ;Минеральная питьевая вода Горная вершина негазированная, ПЭТ спорт",,,,,,ТУ 0131-002-36800549-02,"Калий: 20,24 мг/л; Кальций: 28,1 мг/л; Магний: 12,16 мг/л; Хлориды: 28,4 мг/л; Сульфаты: 23,04 мг/л; Бикарбонаты: 122 мг/л; Гидрокарбонаты: 122 мг/л",,,,Новотерская Кавминводы,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,минеральная,пластик,,да,,,,,,,,,,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,"Вода питьевая ГОРНАЯ ГАЗ./НЕГАЗ. 1,5Л","Вода питьевая Новотерская негазированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-novoterskaia-negazirovannaia-pet/561825024,"1,5","Вода питьевая Новотерская негазированная, ПЭТ;Минеральная питьевая вода Горная вершина негазированная, ПЭТ;Вода питьевая Главвода негазированная, ПЭТ;Минеральная питьевая столовая вода Легенда гор Архыз негазированная ПЭТ;Вода питьевая Волжанка негазированная, ПЭТ;Вода питьевая родниковая NOY негазированная, ПЭТ",,,,,,ТУ 0131-002-36800549-02,"Калий: 20,24 мг/л; Кальций: 28,1 мг/л; Магний: 12,16 мг/л; Хлориды: 28,4 мг/л; Сульфаты: 23,04 мг/л; Бикарбонаты: 122 мг/л; Гидрокарбонаты: 122 мг/л",,,,Новотерская Кавминводы,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,минеральная,пластик,,да,,,,,,,,,,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,"Вода питьевая ГОРНАЯ ГАЗ./НЕГАЗ. СТ/Б 0,5Л","Вода питьевая Новотерская негазированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-novoterskaia-negazirovannaia-pet/561825024,"0,5","Вода питьевая Новотерская негазированная, ПЭТ;Вода питьевая Edis горная родниковая негазированная, стекло;Минеральная питьевая вода Горная вершина негазированная, ПЭТ;Вода питьевая природная негазированная Мевер, стекло;Вода питьевая Черноголовка негазированная, ПЭТ;Природная ледниковая вода Архыз негазированная, ПЭТ",,,,,,ТУ 0131-002-36800549-02,"Калий: 20,24 мг/л; Кальций: 28,1 мг/л; Магний: 12,16 мг/л; Хлориды: 28,4 мг/л; Сульфаты: 23,04 мг/л; Бикарбонаты: 122 мг/л; Гидрокарбонаты: 122 мг/л",,,,Новотерская Кавминводы,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,минеральная,пластик,,да,,,,,,,,,,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,"Вода питьевая дилижан фролова негазированная 0,5л пэт","Вода питьевая родниковая Valio негазированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-rodnikovaia-valio-negazirovannaia-pet/427005382,"0,5","Вода питьевая родниковая Valio негазированная, ПЭТ;Вода питьевая Святой Источник негазированная, ПЭТ;Вода питьевая артезианская первой категории Липецкая-Лайт негазированная, ПЭТ;Вода питьевая Wildalp негазированная, ПЭТ;Вода минеральная Калинов Родник негазированная, ПЭТ;Вода питьевая TASSAY негазированная, ПЭТ",,,,,,,"мг/л: Ca – 15; Mg – 5; K – 4; Na – 10; Cl – 6; F – 0,1; HCO3 – 55; SO4 – 35;
общая минерализация: 50-200 мг/л;
общая жесткость: < 2 мг-экв/л",,,,Valio,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"источник: Kivisto, Salpausselkä, Финляндия",,,,,,,,,питьевая,пластик,природная,,,,,,,,,,,,,,,,,,,,,,,,да,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Вода питьевая ключевая негазированная 1л пэт дилижан,"Вода питьевая Svetla негазированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-svetla-negazirovannaia-pet/170328213,1,"Вода питьевая Svetla негазированная, ПЭТ;Питьевая вода Шишкин лес негазированная, ПЭТ;Вода питьевая Святой Источник негазированная, ПЭТ;Вода Ledenev негазированная, ПЭТ;Минеральная питьевая вода Пилигрим негазированная, ПЭТ;Вода питьевая родниковая Valio негазированная, ПЭТ",,,,,,ТУ 9185-006-58526959-15,магний (Mg)<50 мг/л; кальций (Ca)<100 мг/л; гидрокарбонаты (HCO)<400 мг/л; метакремниевая кислота H2SiO3 10-25 мг/л; натрий (Na)<10 мг/л; сульфаты (SO4) 15-25 мг/л; хлориды (Cl)<10 мг/л,,,,Svetla,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"минерализация 1000 мг/л; pH 7,6; страна происхождения - Словения",,,,,,,,,питьевая,пластик,природная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,"Вода питьевая Красноусольская премиум газ., б/газа, 1,5 л","Вода питьевая Новотерская негазированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-novoterskaia-negazirovannaia-pet/561825024,"1,5","Вода питьевая Новотерская негазированная, ПЭТ;Вода родниковая Aparan негазированная, ПЭТ;Минеральная питьевая вода Пилигрим негазированная, стекло;Вода питьевая Святой Источник негазированная, ПЭТ;Вода питьевая родниковая Noy Luxe негазированная, стекло;Природная ледниковая вода Архыз негазированная, ПЭТ",,,,,,ТУ 0131-002-36800549-02,"Калий: 20,24 мг/л; Кальций: 28,1 мг/л; Магний: 12,16 мг/л; Хлориды: 28,4 мг/л; Сульфаты: 23,04 мг/л; Бикарбонаты: 122 мг/л; Гидрокарбонаты: 122 мг/л",,,,Новотерская Кавминводы,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,минеральная,пластик,,да,,,,,,,,,,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,"ВОДА ПИТЬЕВАЯ КУБАЙ 1,5Л СТОЛОВАЯ НЕГАЗИРОВАННАЯ","Вода минеральная питьевая Кубай газированная, ПЭТ",https://market.yandex.ru/product--voda-mineralnaia-pitevaia-kubai-gazirovannaia-pet/560279089,"1,5","Вода минеральная питьевая Кубай газированная, ПЭТ;Вода минеральная питьевая Кубай негазированная, ПЭТ;Минеральная питьевая столовая вода Легенда гор Архыз негазированная ПЭТ;Вода питьевая Новотерская негазированная, ПЭТ;Вода питьевая Святой Источник негазированная, ПЭТ;Вода питьевая природная негазированная Мевер, ПЭТ",,,,,,ТУ 9185-009-02701706-07,"гидрокарбонаты НСО3 30-160, кальций (Ca) <100, натрий+калий (Na+K) <50",,,,Кубай,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"минерализация 0,1-0,3 г/л",,,,,,,,,минеральная,пластик,гидрокарбонатная кальциево-натриевая,,да,,,,,,,,,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,"Вода питьевая Кубай среднегазированная 1,5 л","Вода минеральная питьевая Кубай газированная, ПЭТ",https://market.yandex.ru/product--voda-mineralnaia-pitevaia-kubai-gazirovannaia-pet/560279089,"1,5","Вода минеральная питьевая Кубай газированная, ПЭТ;Вода минеральная питьевая Кубай негазированная, ПЭТ;Минеральная природная вода Я негазированная, ПЭТ;Минеральная природная вода Я газированная, ПЭТ;Вода питьевая Главвода негазированная, ПЭТ;Вода питьевая Святой Источник негазированная, ПЭТ",,,,,,ТУ 9185-009-02701706-07,"гидрокарбонаты НСО3 30-160, кальций (Ca) <100, натрий+калий (Na+K) <50",,,,Кубай,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"минерализация 0,1-0,3 г/л",,,,,,,,,минеральная,пластик,гидрокарбонатная кальциево-натриевая,,да,,,,,,,,,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,"Вода питьевая ЛЕНТА негазированная спорт, Россия, 0.5 L","Вода питьевая Святой Источник Спортивная негазированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-sviatoi-istochnik-sportivnaia-negazirovannaia-pet/163585477,0,"Вода питьевая Святой Источник Спортивная негазированная, ПЭТ;Вода питьевая Новотерская негазированная, ПЭТ;Вода питьевая Волжанка негазированная, ПЭТ;Минеральная питьевая вода Пилигрим негазированная, ПЭТ спорт;Вода питьевая Волжанка негазированная, ПЭТ спорт;Вода питьевая TASSAY SPORT негазированная, ПЭТ",,,,,,,"кальций <80 мг/л, магний <30 мг/л, калий <20 мг/л, гидрокарбонаты <300 мг/л, хлориды <150 мг/л, сульфаты <100 мг/л;
общая минерализация: 01,-0,5 г/л
общая жесткость: < 6 мг-экв/л",,,12 мес.,Святой источник,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"скважина № 23/94, 26/01, 49/13, г. Липецк",,,,,,,,,питьевая,пластик,природная,да,,,,,,,,,,,,,,,,,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,"ВОДА ПИТЬЕВАЯ ЛЮКС 1,5Л ПРИРОДНАЯ АРТЕЗИАНСКАЯ ГАЗИРОВАННАЯ","Вода питьевая артезианская Arctic газированная, ПЭТ",https://market.yandex.ru/product--voda-pitevaia-artezianskaia-arctic-gazirovannaia-pet/171118226,"1,5","Вода питьевая артезианская Arctic газированная, ПЭТ;Вода питьевая Черноголовка газированная, ПЭТ;Вода питьевая Аква Минерале газированная с соком Черешня, ПЭТ;Вода Ledenev газированная, ПЭТ",,,,,,ТУ 0131-003-45755411-05,"Кальций 25-80мг/л , магний 5-30мг/л, гидрокарбонат 30-350мг/л",,,10 мес.,Arctic,Вода,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"общая минерализация 0,2-0,5 г/л",,,,,,,,,питьевая,пластик,природная,да,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
